ttl,seed,edge_probability,generated,delivered,duplicates,dropped,transmissions,delivery_rate,duplicate_ratio
8,2,0.2,100,100,1100,0,2000,1.0,0.55
8,3,0.2,100,100,500,0,1400,1.0,0.35714285714285715
8,4,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
8,5,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
8,6,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
8,7,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
8,8,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
8,9,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
8,10,0.2,100,100,1500,0,2400,1.0,0.625
8,11,0.2,100,100,1500,100,2400,1.0,0.625
8,12,0.2,100,100,1400,0,2300,1.0,0.6086956521739131
8,13,0.2,100,100,900,0,1800,1.0,0.5
8,14,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
8,15,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
8,16,0.2,100,100,1100,0,2000,1.0,0.55
8,17,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
8,18,0.2,100,100,1100,0,2000,1.0,0.55
8,19,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
8,20,0.2,100,100,1500,0,2400,1.0,0.625
9,1,0.2,100,100,1100,0,2000,1.0,0.55
9,2,0.2,100,100,1100,0,2000,1.0,0.55
9,3,0.2,100,100,500,0,1400,1.0,0.35714285714285715
9,4,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
9,5,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
9,6,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
9,7,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
9,8,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
9,9,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
9,10,0.2,100,100,1500,0,2400,1.0,0.625
9,11,0.2,100,100,1900,0,2800,1.0,0.6785714285714286
9,12,0.2,100,100,1400,0,2300,1.0,0.6086956521739131
9,13,0.2,100,100,900,0,1800,1.0,0.5
9,14,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
9,15,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
9,16,0.2,100,100,1100,0,2000,1.0,0.55
9,17,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
9,18,0.2,100,100,1100,0,2000,1.0,0.55
9,19,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
9,20,0.2,100,100,1500,0,2400,1.0,0.625
10,1,0.2,100,100,1100,0,2000,1.0,0.55
10,2,0.2,100,100,1100,0,2000,1.0,0.55
10,3,0.2,100,100,500,0,1400,1.0,0.35714285714285715
10,4,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
10,5,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
10,6,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
10,7,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
10,8,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
10,9,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
10,10,0.2,100,100,1500,0,2400,1.0,0.625
10,11,0.2,100,100,1900,0,2800,1.0,0.6785714285714286
10,12,0.2,100,100,1400,0,2300,1.0,0.6086956521739131
10,13,0.2,100,100,900,0,1800,1.0,0.5
10,14,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
10,15,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
10,16,0.2,100,100,1100,0,2000,1.0,0.55
10,17,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
10,18,0.2,100,100,1100,0,2000,1.0,0.55
10,19,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
10,20,0.2,100,100,1500,0,2400,1.0,0.625
